target,pharm_action,gene,uniprot_id,drugbank_id
Voltage-dependent L-type calcium channel subunit alpha-1C,Yes,CACNA1C,Q13936,DB00393
Voltage-dependent L-type calcium channel subunit alpha-1D,Yes,CACNA1D,Q01668,DB00393
Voltage-dependent L-type calcium channel subunit alpha-1F,Yes,CACNA1F,O60840,DB00393
Voltage-dependent L-type calcium channel subunit alpha-1S,Yes,CACNA1S,Q13698,DB00393
Voltage-dependent L-type calcium channel subunit beta-1,Yes,CACNB1,Q02641,DB00393
Voltage-dependent L-type calcium channel subunit beta-2,Yes,CACNB2,Q08289,DB00393
Voltage-dependent L-type calcium channel subunit beta-3,Yes,CACNB3,P54284,DB00393
Voltage-dependent L-type calcium channel subunit beta-4,Yes,CACNB4,O00305,DB00393
Mineralocorticoid receptor,Unknown,NR3C2,P08235,DB00393
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB00393
Proteasome subunit beta type-5,Yes,PSMB5,P28074,DB00188
Proteasome subunit beta type-1,Yes,PSMB1,P20618,DB00188
Cholinesterase,Yes,BCHE,P06276,DB00382
Acetylcholinesterase,Yes,ACHE,P22303,DB00382
Liver carboxylesterase 1,Unknown,CES1,P23141,DB00382
Interstitial collagenase,Yes,MMP1,P03956,DB00786
72 kDa type IV collagenase,Yes,MMP2,P08253,DB00786
Stromelysin-1,Yes,MMP3,P08254,DB00786
Matrilysin,Yes,MMP7,P09237,DB00786
Neutrophil collagenase,Yes,MMP8,P22894,DB00786
Matrix metalloproteinase-9,Yes,MMP9,P14780,DB00786
Stromelysin-2,Yes,MMP10,P09238,DB00786
Stromelysin-3,Yes,MMP11,P24347,DB00786
Macrophage metalloelastase,Yes,MMP12,P39900,DB00786
Collagenase 3,Yes,MMP13,P45452,DB00786
Matrix metalloproteinase-14,Yes,MMP14,P50281,DB00786
Matrix metalloproteinase-15,Yes,MMP15,P51511,DB00786
Matrix metalloproteinase-16,Yes,MMP16,P51512,DB00786
Matrix metalloproteinase-17,Yes,MMP17,Q9ULZ9,DB00786
Matrix metalloproteinase-19,Yes,MMP19,Q99542,DB00786
Matrix metalloproteinase-20,Yes,MMP20,O60882,DB00786
Matrix metalloproteinase-21,Yes,MMP21,Q8N119,DB00786
Matrix metalloproteinase-23,Yes,MMP23A,O75900,DB00786
Matrix metalloproteinase-24,Yes,MMP24,Q9Y5R2,DB00786
Matrix metalloproteinase-25,Yes,MMP25,Q9NPA2,DB00786
Matrix metalloproteinase-26,Yes,MMP26,Q9NRE1,DB00786
Matrix metalloproteinase-27,Yes,MMP27,Q9H306,DB00786
Matrix metalloproteinase-28,Yes,MMP28,Q9H239,DB00786
Dopamine D2 receptor,Yes,DRD2,P14416,DB01238
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB01238
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB01238
Alpha-1A adrenergic receptor,No,ADRA1A,P35348,DB01238
Alpha-1B adrenergic receptor,No,ADRA1B,P35368,DB01238
Dopamine D3 receptor,Unknown,DRD3,P35462,DB01238
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB01238
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB01238
Alpha-2A adrenergic receptor,No,ADRA2A,P08913,DB01238
Alpha-2C adrenergic receptor,No,ADRA2C,P18825,DB01238
Histamine H1 receptor,No,HRH1,P35367,DB01238
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB01238
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB01238
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB01238
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB01238
Dopamine D1 receptor,Unknown,DRD1,P21728,DB01238
Dopamine D4 receptor,Unknown,DRD4,P21917,DB01238
Alpha-2B adrenergic receptor,No,ADRA2B,P18089,DB01238
5-hydroxytryptamine receptor 1E,Unknown,HTR1E,P28566,DB01238
Dopamine D5 receptor,Unknown,DRD5,P21918,DB01238
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB01238
5-hydroxytryptamine receptor 5A,Unknown,HTR5A,P47898,DB01238
Beta-1 adrenergic receptor,Unknown,ADRB1,P08588,DB01238
Beta-2 adrenergic receptor,Unknown,ADRB2,P07550,DB01238
Histamine H2 receptor,Unknown,HRH2,P25021,DB01238
Histamine H3 receptor,Unknown,HRH3,Q9Y5N1,DB01238
Histamine H4 receptor,Unknown,HRH4,Q9H3N8,DB01238
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB01238
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB01238
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB01238
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB01238
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB01238
Kappa-type opioid receptor,Unknown,OPRK1,P41145,DB01238
Mu-type opioid receptor,Unknown,OPRM1,P35372,DB01238
Delta-type opioid receptor,Unknown,OPRD1,P41143,DB01238
Glutamate (NMDA) receptor (Protein Group),Unknown,,,DB01238
Sodium-dependent dopamine transporter,Unknown,SLC6A3,Q01959,DB01238
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB01238
Ribosyldihydronicotinamide dehydrogenase [quinone],Unknown,NQO2,P16083,DB02709
Casein kinase II subunit alpha,Unknown,CSNK2A1,P68400,DB02709
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB02709
Prostaglandin G/H synthase 2,Unknown,PTGS2,P35354,DB02709
Arachidonate 15-lipoxygenase,Unknown,ALOX15,P16050,DB02709
Arachidonate 5-lipoxygenase,Unknown,ALOX5,P09917,DB02709
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB02709
Phosphatidylinositol 4-kinase type 2-beta,Unknown,PI4K2B,Q8TCG2,DB02709
Integrin alpha-5,Unknown,ITGA5,P08648,DB02709
Integrin beta-3,Unknown,ITGB3,P05106,DB02709
Amyloid beta A4 protein,Unknown,APP,P05067,DB02709
Alpha-synuclein,Unknown,SNCA,P37840,DB02709
NAD-dependent protein deacetylase sirtuin-1,Unknown,SIRT1,Q96EB6,DB02709
Estrogen receptor alpha,Unknown,ESR1,P03372,DB02709
Melatonin receptor type 1A,Unknown,MTNR1A,P48039,DB02709
Melatonin receptor type 1B,Unknown,MTNR1B,P49286,DB02709
C-type lectin domain family 14 member A,Unknown,CLEC14A,Q86T13,DB02709
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB02709
Nuclear receptor subfamily 1 group I member 3,Unknown,NR1I3,Q14994,DB02709
"Solute carrier family 2, facilitated glucose transporter member 1",Unknown,SLC2A1,P11166,DB02709
Carbonyl reductase [NADPH] 1,Unknown,CBR1,P16152,DB02709
Peroxisome proliferator-activated receptor alpha,Unknown,PPARA,Q07869,DB02709
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB02709
RAC-alpha serine/threonine-protein kinase,Unknown,AKT1,P31749,DB02709
Far upstream element-binding protein 2,Unknown,KHSRP,Q92945,DB02709
"Tyrosine--tRNA ligase, cytoplasmic",Unknown,YARS,P54577,DB02709
DNA,Yes,,,DB00276
DNA topoisomerase 2-alpha,Yes,TOP2A,P11388,DB00276
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00276
Alpha-1-acid glycoprotein 1,Unknown,ORM1,P02763,DB00276
Serum albumin,Unknown,ALB,P02768,DB00276
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00734
Dopamine D2 receptor,Yes,DRD2,P14416,DB00734
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00734
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB00734
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00734
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB00734
Histamine H1 receptor,Unknown,HRH1,P35367,DB00734
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00734
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB00734
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00734
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00734
,Unknown,,,DB00734
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00734
Pancreatic triacylglycerol lipase,Yes,PNLIP,P16233,DB01083
Gastric triacylglycerol lipase,Yes,LIPF,P07098,DB01083
Fatty acid synthase,Unknown,FASN,P49327,DB01083
Acetylcholinesterase,Yes,ACHE,P22303,DB00989
Cholinesterase,Yes,BCHE,P06276,DB00989
Platelet-derived growth factor receptor beta,Yes,PDGFRB,P09619,DB01268
Vascular endothelial growth factor receptor 1,Yes,FLT1,P17948,DB01268
Mast/stem cell growth factor receptor Kit,Yes,KIT,P10721,DB01268
Vascular endothelial growth factor receptor 2,Yes,KDR,P35968,DB01268
Vascular endothelial growth factor receptor 3,Yes,FLT4,P35916,DB01268
Receptor-type tyrosine-protein kinase FLT3,Yes,FLT3,P36888,DB01268
Macrophage colony-stimulating factor 1 receptor,Yes,CSF1R,P07333,DB01268
Platelet-derived growth factor receptor alpha,Yes,PDGFRA,P16234,DB01268
Hepatocyte growth factor receptor,Unknown,MET,P08581,DB01268
Dopamine D2 receptor,Yes,DRD2,P14416,DB00831
Neuron-specific vesicular protein calcyon,Yes,CALY,Q9NYX4,DB00831
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00831
Calmodulin,Unknown,CALM1,P0DP23,DB00831
"Troponin C, slow skeletal and cardiac muscles",Unknown,TNNC1,P63316,DB00831
Protein S100-A4,Unknown,S100A4,P26447,DB00831
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB01050
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB01050
Apoptosis regulator Bcl-2,Unknown,BCL2,P10415,DB01050
Thrombomodulin,Unknown,THBD,P07204,DB01050
"Fatty acid-binding protein, intestinal",Unknown,FABP2,P12104,DB01050
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB01050
Cystic fibrosis transmembrane conductance regulator,Unknown,CFTR,P13569,DB01050
Peroxisome proliferator-activated receptor alpha,Unknown,PPARA,Q07869,DB01050
Platelet glycoprotein Ib alpha chain,Unknown,GP1BA,P07359,DB01050
Protein S100-A7,Unknown,S100A7,P31151,DB01050
Thymidylate synthase,Yes,TYMS,P04818,DB00642
Bifunctional purine biosynthesis protein PURH,Yes,ATIC,P31939,DB00642
Dihydrofolate reductase,Yes,DHFR,P00374,DB00642
Trifunctional purine biosynthetic protein adenosine-3,Yes,GART,P22102,DB00642
Estrogen receptor alpha,Yes,ESR1,P03372,DB00977
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00977
Solute carrier family 12 member 1,Yes,SLC12A1,Q13621,DB00887
Solute carrier family 12 member 2,Yes,SLC12A2,P55011,DB00887
Solute carrier family 12 member 4,Yes,SLC12A4,Q9UP95,DB00887
Solute carrier family 12 member 5,Yes,SLC12A5,Q9H2X9,DB00887
Cystic fibrosis transmembrane conductance regulator,Unknown,CFTR,P13569,DB00887
Carbonic anhydrase 2,Unknown,CA2,P00918,DB08329
Voltage-gated sodium channel alpha subunit (Protein Group),Yes,,,DB00564
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB00564
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00564
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB01009
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB01009
C-X-C chemokine receptor type 1,Unknown,CXCR1,P25024,DB01009
"cGMP-specific 3',5'-cyclic phosphodiesterase",Yes,PDE5A,O76074,DB00203
"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",No,PDE6G,P18545,DB00203
"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",No,PDE6H,Q13956,DB00203
Ornithine decarboxylase,Unknown,ODC1,P11926,DB00203
Programmed cell death 1 ligand 1,Unknown,CD274,Q9NZQ7,DB00203
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB01156
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB01156
Neuronal acetylcholine receptor subunit alpha-3,Unknown,CHRNA3,P32297,DB01156
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB01156
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00580
Carbonic anhydrase 2,Unknown,CA2,P00918,DB00580
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00580
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB05964
Sodium-dependent noradrenaline transporter,Unknown,SLC6A2,P23975,DB05964
Dopamine D2 receptor,Unknown,DRD2,P14416,DB05964
Hepatocyte growth factor,Unknown,HGF,P14210,DB12307
Vascular endothelial growth factor receptor 2,Unknown,KDR,P35968,DB12307
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Unknown,PDE4D,Q08499,DB01954
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Unknown,PDE4B,Q07343,DB01954
"cAMP-specific 3',5'-cyclic phosphodiesterase 4 (PDE4) (Protein Group)",Yes,,,DB01954
Nuclear receptor coactivator 1,Unknown,NCOA1,Q15788,DB01645
Estrogen receptor alpha,Unknown,ESR1,P03372,DB01645
Nuclear receptor coactivator 2,Unknown,NCOA2,Q15596,DB01645
Steroid hormone receptor ERR2,Unknown,ESRRB,O95718,DB01645
Steroid hormone receptor ERR1,Unknown,ESRRA,P11474,DB01645
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB01645
RAC-alpha serine/threonine-protein kinase,Unknown,AKT1,P31749,DB01645
G-protein coupled estrogen receptor 1,Unknown,GPER1,Q99527,DB01645
Cytochrome P450 1B1,Unknown,CYP1B1,Q16678,DB01645
Sex hormone-binding globulin,Unknown,SHBG,P04278,DB01645
Estrogen receptor beta,Unknown,ESR2,Q92731,DB01645
DNA topoisomerase 2-alpha,Unknown,TOP2A,P11388,DB01645
Protein-tyrosine kinase 2-beta,Unknown,PTK2B,Q14289,DB01645
Cystic fibrosis transmembrane conductance regulator,Unknown,CFTR,P13569,DB01645
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB14010
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB14010
Thymidylate synthase,Yes,TYMS,P04818,DB00293
"Folylpolyglutamate synthase, mitochondrial",Unknown,FPGS,Q05932,DB00293
Estrogen receptor alpha,Yes,ESR1,P03372,DB00481
Estrogen receptor beta,Yes,ESR2,Q92731,DB00481
Serpin B9,Unknown,SERPINB9,P50453,DB00481
Trefoil factor 1,Unknown,TFF1,P04155,DB00481
Voltage-dependent L-type calcium channel subunit alpha-1C,Yes,CACNA1C,Q13936,DB00622
Voltage-dependent L-type calcium channel subunit beta-2,Yes,CACNB2,Q08289,DB00622
Voltage-dependent calcium channel subunit alpha-2/delta-1,Yes,CACNA2D1,P54289,DB00622
Voltage-dependent L-type calcium channel subunit alpha-1D,Yes,CACNA1D,Q01668,DB00622
"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",Unknown,PDE1A,P54750,DB00622
"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Unknown,PDE1B,Q01064,DB00622
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00622
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00622
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB00622
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00622
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00622
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00622
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB00622
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB00622
Calmodulin,Unknown,CALM1,P0DP23,DB00622
Voltage-dependent calcium channel (Protein Group),Unknown,,,DB00622
Voltage-dependent T-type calcium channel subunit alpha-1G,Unknown,CACNA1G,O43497,DB00622
Voltage-dependent T-type calcium channel subunit alpha-1H,Unknown,CACNA1H,O95180,DB00622
Voltage-dependent T-type calcium channel subunit alpha-1I,Unknown,CACNA1I,Q9P0X4,DB00622
Estrogen receptor alpha,Yes,ESR1,P03372,DB00675
Estrogen receptor beta,Yes,ESR2,Q92731,DB00675
Protein kinase C (Protein Group),Yes,,,DB00675
Sex hormone-binding globulin,Yes,SHBG,P04278,DB00675
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Unknown,EBP,Q15125,DB00675
Androgen receptor,Unknown,AR,P10275,DB00675
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00675
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00675
Estrogen-related receptor gamma,Unknown,ESRRG,P62508,DB00675
Mitogen-activated protein kinase 8,Unknown,MAPK8,P45983,DB00675
Membrane primary amine oxidase,Yes,AOC3,Q16853,DB01275
Hypoxia-inducible factor 1-alpha,Unknown,HIF1A,Q16665,DB01275
Prolyl 4-hydroxylase subunit alpha-1,Unknown,P4HA1,P13674,DB01275
Tyrosine-protein kinase ABL1,Yes,ABL1,P00519,DB08901
Breakpoint cluster region protein,Yes,BCR,P11274,DB08901
Mast/stem cell growth factor receptor Kit,Unknown,KIT,P10721,DB08901
Proto-oncogene tyrosine-protein kinase receptor Ret,Unknown,RET,P07949,DB08901
Angiopoietin-1 receptor,Unknown,TEK,Q02763,DB08901
Receptor-type tyrosine-protein kinase FLT3,Unknown,FLT3,P36888,DB08901
Fibroblast growth factor receptor 1,Unknown,FGFR1,P11362,DB08901
Fibroblast growth factor receptor 2,Unknown,FGFR2,P21802,DB08901
Fibroblast growth factor receptor 3,Unknown,FGFR3,P22607,DB08901
Fibroblast growth factor receptor 4,Unknown,FGFR4,P22455,DB08901
Tyrosine-protein kinase Lck,Unknown,LCK,P06239,DB08901
Proto-oncogene tyrosine-protein kinase Src,Unknown,SRC,P12931,DB08901
Tyrosine-protein kinase Lyn,Unknown,LYN,P07948,DB08901
Vascular endothelial growth factor receptor 2,Unknown,KDR,P35968,DB08901
Platelet-derived growth factor receptor alpha,Unknown,PDGFRA,P16234,DB08901
Estrogen receptor alpha,Yes,ESR1,P03372,DB13956
Estrogen receptor beta,Yes,ESR2,Q92731,DB13956
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB13956
Neuronal acetylcholine receptor subunit alpha-4,Unknown,CHRNA4,P43681,DB13956
Nuclear receptor coactivator 2,Unknown,NCOA2,Q15596,DB13956
G-protein coupled estrogen receptor 1,Unknown,GPER1,Q99527,DB13956
ATP synthase subunit a,Unknown,MT-ATP6,P00846,DB13956
Beclin-1,Unknown,BECN1,Q14457,DB13956
Estradiol 17-beta-dehydrogenase 2,Unknown,HSD17B2,P37059,DB13956
Estrogen-related receptor gamma,Unknown,ESRRG,P62508,DB13956
Gamma-aminobutyric acid receptor subunit gamma-2,Yes,GABRG2,P18507,DB01205
Gamma-aminobutyric acid receptor subunit alpha-5,Yes,GABRA5,P31644,DB01205
GABA(A) Receptor (Protein Group),Yes,,,DB01205
Gamma-aminobutyric acid receptor subunit alpha-1,Yes,GABRA1,P14867,DB01205
Histamine H1 receptor,Yes,HRH1,P35367,DB05381
Histamine H2 receptor,Yes,HRH2,P25021,DB05381
Histamine H3 receptor,Yes,HRH3,Q9Y5N1,DB05381
Histamine H4 receptor,Unknown,HRH4,Q9H3N8,DB05381
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB05381
Cathepsin L1,Unknown,CTSL,P07711,DB07477
Thyroid hormone receptor alpha,Yes,THRA,P10827,DB00279
Thyroid hormone receptor beta,Yes,THRB,P10828,DB00279
Proliferating cell nuclear antigen,Unknown,PCNA,P12004,DB00279
Glucocorticoid receptor,Unknown,NR3C1,P04150,DB12637
Probable G-protein coupled receptor 133,Unknown,ADGRD1,Q6QNK2,DB12637
Progesterone receptor,Yes,PGR,P06401,DB00603
Estrogen receptor alpha,Yes,ESR1,P03372,DB00603
P-glycoprotein 1,Unknown,ABCB1,P08183,DB00603
GABA(A) Receptor (Protein Group),Unknown,,,DB00603
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB12116
DNA (cytosine-5)-methyltransferase 1,Unknown,DNMT1,P26358,DB12116
"Dihydrofolate reductase, mitochondrial",Unknown,DHFRL1,Q86XF0,DB12116
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00328
"Phospholipase A2, membrane associated",Yes,PLA2G2A,P14555,DB00328
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB00328
Prostaglandin reductase 2,Unknown,PTGR2,Q8N8N7,DB00328
Peroxisome proliferator-activated receptor gamma,Unknown,PPARG,P37231,DB00328
Lactoylglutathione lyase,Unknown,GLO1,Q04760,DB00328
Prostaglandin D2 receptor 2,Unknown,PTGDR2,Q9Y5Y4,DB00328
Peroxisome proliferator-activated receptor alpha,Unknown,PPARA,Q07869,DB00328
Aldo-keto reductase family 1 member C3,Unknown,AKR1C3,P42330,DB00328
"Interferon-induced, double-stranded RNA-activated protein kinase",Unknown,EIF2AK2,P19525,DB00328
Human Cyclooxygenases (Protein Group),Yes,,,DB00328
Cytochrome P450 19A1,Yes,CYP19A1,P11511,DB01006
Dopamine D2 receptor,Yes,DRD2,P14416,DB01100
Dopamine D3 receptor,Yes,DRD3,P35462,DB01100
Potassium voltage-gated channel subfamily H member 2,Yes,KCNH2,Q12809,DB01100
Calmodulin,Unknown,CALM1,P0DP23,DB01100
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00500
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB00500
Carbonic anhydrase 1,Yes,CA1,P00915,DB00310
Solute carrier family 12 member 1,Yes,SLC12A1,Q13621,DB00310
Dopamine D3 receptor,Yes,DRD3,P35462,DB00268
Dopamine D2 receptor,Yes,DRD2,P14416,DB00268
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00268
Alpha adrenergic receptor (Protein Group),Unknown,,,DB00268
Peroxisome proliferator-activated receptor gamma,Yes,PPARG,P37231,DB00197
Estrogen-related receptor gamma,No,ESRRG,P62508,DB00197
Steroid hormone receptor ERR1,No,ESRRA,P11474,DB00197
Peroxisome proliferator-activated receptor delta,Unknown,PPARD,Q03181,DB00197
Peroxisome proliferator-activated receptor alpha,Unknown,PPARA,Q07869,DB00197
Glutathione S-transferase P,Unknown,GSTP1,P09211,DB00197
Long-chain-fatty-acid--CoA ligase 4,No,ACSL4,O60488,DB00197
Plasminogen activator inhibitor 1,Unknown,SERPINE1,P05121,DB00197
Equilibrative nucleoside transporter 1,No,SLC29A1,Q99808,DB00197
,Yes,,,DB00512
Dihydropteroate synthase,Yes,folP,P0AC13,DB00259
Muscarinic acetylcholine receptor M3,Yes,CHRM3,P20309,DB01591
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB01591
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB01591
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB01591
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB01591
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Unknown,FNTA,P49354,DB07227
Protein farnesyltransferase subunit beta,Unknown,FNTB,P49356,DB07227
Geranylgeranyl transferase type-1 subunit beta,Unknown,PGGT1B,P53609,DB07227
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB00991
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00991
"Cytochrome P450 11B1, mitochondrial",Yes,CYP11B1,P15538,DB11837
"Cytochrome P450 11B2, mitochondrial",No,CYP11B2,P19099,DB11837
Histone deacetylase (Protein Group),Yes,,,DB06603
ATP-sensitive inward rectifier potassium channel 11,Yes,KCNJ11,Q14654,DB01119
Mitochondrial ATP synthase F1 domain (Protein Group),Unknown,,,DB01119
Sodium/potassium-transporting ATPase subunit alpha-1,Yes,ATP1A1,P05023,DB00390
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00590
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB00590
HERG human cardiac K+ channel (Protein Group),Unknown,,,DB00590
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00590
Tyrosine-protein kinase JAK1,Yes,JAK1,P23458,DB08895
Tyrosine-protein kinase JAK2,Yes,JAK2,O60674,DB08895
Tyrosine-protein kinase JAK3,Yes,JAK3,P52333,DB08895
Non-receptor tyrosine-protein kinase TYK2,Unknown,TYK2,P29597,DB08895
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00706
Alpha-1D adrenergic receptor,Unknown,ADRA1D,P25100,DB00706
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00706
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB00745
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00745
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Yes,PDE4D,Q08499,DB03849
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Yes,PDE4B,Q07343,DB03849
"cAMP-specific 3',5'-cyclic phosphodiesterase 4 (PDE4) (Protein Group)",Yes,,,DB01656
5-hydroxytryptamine receptor 1D,Yes,HTR1D,P28221,DB00696
5-hydroxytryptamine receptor 1B,Yes,HTR1B,P28222,DB00696
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00696
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00696
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00696
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB00696
Dopamine D2 receptor,Unknown,DRD2,P14416,DB00696
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00696
D(1) dopamine receptor (Protein Group),Unknown,,,DB00696
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00696
5-hydroxytryptamine receptor 1F,Unknown,HTR1F,P30939,DB00696
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00696
5-hydroxytryptamine receptor 2B,Unknown,HTR2B,P41595,DB00696
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB00696
Carbonic anhydrase 6,Unknown,CA6,P23280,DB06795
Cholinesterase,Yes,BCHE,P06276,DB00772
Beta-1 adrenergic receptor,Yes,ADRB1,P08588,DB00960
Beta-2 adrenergic receptor,Yes,ADRB2,P07550,DB00960
Beta-3 adrenergic receptor,Unknown,ADRB3,P13945,DB00960
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00960
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB00960
Mu-type opioid receptor,Yes,OPRM1,P35372,DB00704
Kappa-type opioid receptor,Yes,OPRK1,P41145,DB00704
Delta-type opioid receptor,Yes,OPRD1,P41143,DB00704
Sigma non-opioid intracellular receptor 1,Unknown,SIGMAR1,Q99720,DB00704
Carbonic anhydrase 2,Yes,CA2,P00918,DB01144
Carbonic anhydrase 1,Yes,CA1,P00915,DB01144
Carbonic anhydrase 4,Yes,CA4,P22748,DB01144
Carbonic anhydrase 7,Yes,CA7,P43166,DB01144
Carbonic anhydrase 3,Unknown,CA3,P07451,DB01144
Histone deacetylase (Protein Group),Unknown,,,DB12645
Sodium/potassium-transporting ATPase subunit alpha-1,Yes,ATP1A1,P05023,DB01092
